Hour	HRV (ms)
00:00:00	47.15
00:20:00	41.54
00:40:00	50.16
01:00:00	48.42
01:20:00	50.24
01:40:00	48.15
02:00:00	69.73
02:20:00	50.59
02:40:00	50.1
03:00:00	55.35
03:20:00	59.94
03:40:00	45.13
04:00:00	53.66
04:20:00	57.83
04:40:00	50.98
05:00:00	37.91
05:20:00	42.5
05:40:00	51.14
06:00:00	46.3
06:20:00	51.92
06:40:00	47.75
07:00:00	42.61
07:20:00	46.32
07:40:00	42.46
08:00:00	49.09
08:20:00	38.97
08:40:00	44.96
09:00:00	46.15
09:20:00	42.97
09:40:00	38.27
10:00:00	46.11
10:20:00	49.87
10:40:00	47.59
11:00:00	50.22
11:20:00	54.77
11:40:00	50.96
12:00:00	50.0
12:20:00	61.19
12:40:00	58.33
13:00:00	48.86
13:20:00	61.64
13:40:00	56.55
14:00:00	78.95
14:20:00	67.67
14:40:00	70.01
15:00:00	74.56
15:20:00	64.73
15:40:00	67.16
16:00:00	72.32
16:20:00	63.34
16:40:00	90.02
17:00:00	65.83
17:20:00	74.82
17:40:00	64.77
18:00:00	68.27
18:20:00	62.79
18:40:00	63.69
19:00:00	55.39
19:20:00	60.77
19:40:00	59.93
20:00:00	64.58
20:20:00	55.54
20:40:00	55.36
21:00:00	59.91
21:20:00	62.37
21:40:00	57.48
22:00:00	54.38
22:20:00	57.68
22:40:00	67.88
23:00:00	71.38
23:20:00	53.05
23:40:00	69.52
