Hour	HRV (ms)
00:00:00	34.24
00:20:00	46.32
00:40:00	43.72
01:00:00	48.12
01:20:00	54.75
01:40:00	49.18
02:00:00	47.36
02:20:00	54.69
02:40:00	53.66
03:00:00	77.45
03:20:00	59.21
03:40:00	49.37
04:00:00	54.43
04:20:00	62.27
04:40:00	52.87
05:00:00	53.76
05:20:00	44.07
05:40:00	47.86
06:00:00	45.67
06:20:00	37.05
06:40:00	49.08
07:00:00	42.39
07:20:00	36.3
07:40:00	31.5
08:00:00	37.67
08:20:00	30.21
08:40:00	40.89
09:00:00	33.26
09:20:00	42.35
09:40:00	69.59
10:00:00	37.71
10:20:00	45.7
10:40:00	52.25
11:00:00	55.84
11:20:00	47.89
11:40:00	56.58
12:00:00	57.75
12:20:00	60.17
12:40:00	55.81
13:00:00	57.36
13:20:00	62.67
13:40:00	59.44
14:00:00	69.26
14:20:00	63.83
14:40:00	66.24
15:00:00	69.44
15:20:00	65.78
15:40:00	74.1
16:00:00	59.21
16:20:00	66.6
16:40:00	63.53
17:00:00	72.87
17:20:00	59.38
17:40:00	58.89
18:00:00	66.2
18:20:00	86.78
18:40:00	55.92
19:00:00	52.84
19:20:00	51.92
19:40:00	57.52
20:00:00	49.64
20:20:00	50.34
20:40:00	56.38
21:00:00	50.18
21:20:00	61.8
21:40:00	63.22
22:00:00	57.73
22:20:00	60.66
22:40:00	74.58
23:00:00	61.76
23:20:00	67.43
23:40:00	67.96
