Hour	HRV (ms)
00:00:00	31.79
00:20:00	44.82
00:40:00	49.1
01:00:00	38.89
01:20:00	44.15
01:40:00	69.85
02:00:00	59.39
02:20:00	51.9
02:40:00	49.63
03:00:00	48.82
03:20:00	49.78
03:40:00	54.32
04:00:00	47.41
04:20:00	52.56
04:40:00	54.93
05:00:00	61.03
05:20:00	45.55
05:40:00	41.91
06:00:00	41.11
06:20:00	42.75
06:40:00	40.88
07:00:00	42.47
07:20:00	27.72
07:40:00	44.58
08:00:00	40.14
08:20:00	45.75
08:40:00	37.57
09:00:00	37.68
09:20:00	44.17
09:40:00	61.58
10:00:00	38.75
10:20:00	40.4
10:40:00	47.46
11:00:00	47.67
11:20:00	51.69
11:40:00	47.63
12:00:00	61.93
12:20:00	60.34
12:40:00	65.9
13:00:00	62.78
13:20:00	64.42
13:40:00	65.65
14:00:00	62.58
14:20:00	63.11
14:40:00	62.14
15:00:00	69.47
15:20:00	68.31
15:40:00	77.5
16:00:00	69.06
16:20:00	61.71
16:40:00	68.11
17:00:00	78.65
17:20:00	63.45
17:40:00	62.7
18:00:00	67.58
18:20:00	57.8
18:40:00	59.22
19:00:00	48.48
19:20:00	50.85
19:40:00	58.82
20:00:00	69.51
20:20:00	59.6
20:40:00	54.99
21:00:00	66.06
21:20:00	64.5
21:40:00	49.52
22:00:00	57.8
22:20:00	63.33
22:40:00	59.48
23:00:00	65.36
23:20:00	73.67
23:40:00	55.84
