Hour	HRV (ms)
00:00:00	39.48
00:20:00	41.49
00:40:00	40.41
01:00:00	55.43
01:20:00	37.43
01:40:00	47.0
02:00:00	55.75
02:20:00	52.08
02:40:00	49.2
03:00:00	55.82
03:20:00	53.13
03:40:00	59.96
04:00:00	54.21
04:20:00	56.35
04:40:00	53.46
05:00:00	54.56
05:20:00	46.23
05:40:00	42.71
06:00:00	45.86
06:20:00	51.46
06:40:00	47.8
07:00:00	36.57
07:20:00	45.6
07:40:00	44.49
08:00:00	35.86
08:20:00	42.64
08:40:00	36.77
09:00:00	38.42
09:20:00	45.51
09:40:00	41.48
10:00:00	40.99
10:20:00	44.64
10:40:00	44.97
11:00:00	57.42
11:20:00	56.16
11:40:00	55.9
12:00:00	49.59
12:20:00	60.94
12:40:00	60.31
13:00:00	67.93
13:20:00	62.19
13:40:00	65.08
14:00:00	63.81
14:20:00	61.07
14:40:00	71.55
15:00:00	56.46
15:20:00	78.68
15:40:00	57.42
16:00:00	67.54
16:20:00	70.35
16:40:00	80.23
17:00:00	70.45
17:20:00	67.52
17:40:00	60.53
18:00:00	64.93
18:20:00	62.63
18:40:00	59.34
19:00:00	51.27
19:20:00	65.97
19:40:00	54.71
20:00:00	55.51
20:20:00	62.05
20:40:00	48.28
21:00:00	81.54
21:20:00	56.41
21:40:00	66.42
22:00:00	59.12
22:20:00	59.95
22:40:00	62.65
23:00:00	84.42
23:20:00	65.74
23:40:00	65.27
