Hour	HRV (ms)
00:00:00	41.06
00:20:00	50.32
00:40:00	58.94
01:00:00	45.99
01:20:00	40.99
01:40:00	45.15
02:00:00	55.89
02:20:00	60.81
02:40:00	49.37
03:00:00	52.33
03:20:00	64.28
03:40:00	56.31
04:00:00	51.54
04:20:00	55.09
04:40:00	51.33
05:00:00	49.54
05:20:00	44.68
05:40:00	48.51
06:00:00	39.36
06:20:00	50.78
06:40:00	40.33
07:00:00	44.0
07:20:00	40.49
07:40:00	36.25
08:00:00	52.16
08:20:00	40.3
08:40:00	32.41
09:00:00	32.98
09:20:00	45.99
09:40:00	47.67
10:00:00	49.88
10:20:00	43.12
10:40:00	51.66
11:00:00	44.71
11:20:00	51.54
11:40:00	58.87
12:00:00	61.74
12:20:00	58.82
12:40:00	61.95
13:00:00	55.52
13:20:00	56.97
13:40:00	63.78
14:00:00	67.55
14:20:00	66.8
14:40:00	69.03
15:00:00	62.06
15:20:00	67.7
15:40:00	71.06
16:00:00	66.95
16:20:00	70.03
16:40:00	65.47
17:00:00	62.01
17:20:00	61.49
17:40:00	64.2
18:00:00	60.02
18:20:00	59.02
18:40:00	66.48
19:00:00	62.47
19:20:00	49.66
19:40:00	57.65
20:00:00	58.31
20:20:00	56.03
20:40:00	57.21
21:00:00	78.28
21:20:00	50.78
21:40:00	61.38
22:00:00	56.13
22:20:00	59.82
22:40:00	70.27
23:00:00	91.81
23:20:00	60.34
23:40:00	63.71
